movie_id,movie_name,certificate,genre,description,directors,stars
tt0119361,In the Company of Men,R,"Comedy, Drama            ","Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life.",Neil LaBute,"     Aaron Eckhart, Matt Malloy, Stacy Edwards, Michael Martin"
tt0056264,Mutiny on the Bounty,U,"Adventure, Drama, History            ","In 1787, British ship Bounty leaves Portsmouth to bring a cargo of bread-fruit from Tahiti but the savage on-board conditions imposed by Captain Bligh trigger a mutiny led by officer Fletcher Christian.","Lewis Milestone, Carol Reed, George Seaton","     Marlon Brando, Trevor Howard, Richard Harris, Hugh Griffith"
tt0318283,Alex & Emma,PG-13,"Comedy, Romance            ",A writer must turn out a novel in thirty days or face the wrath of loan sharks.,Rob Reiner,"     Luke Wilson, Kate Hudson, David Paymer, Sophie Marceau"
tt0292542,El hijo de la novia,R,"Comedy, Drama            ","A dissatisfied 40-year-old, separated and without time for his own daughter and girlfriend must rethink his life when his father decides to marry his mother, who suffers from Alzheimer's disease, by church.",Juan José Campanella,"     Ricardo Darín, Héctor Alterio, Norma Aleandro, Eduardo Blanco"
tt0120724,Knock Off,R,"Action, Crime, Thriller            ",A fashion designer must join forces with a C.I.A. agent to combat terrorism.,Hark Tsui,"     Jean-Claude Van Damme, Rob Schneider, Lela Rochon, Paul Sorvino"
tt1922685,Phantom,R,"Drama, History, Thriller            ","The haunted Captain of a Soviet submarine holds the fate of the world in his hands. Forced to leave his family behind, he is charged with leading a covert mission cloaked in mystery.",Todd Robinson,"     Ed Harris, Julian Adams, David Duchovny, William Fichtner"
tt0422091,Dhoom,UA,"Action, Crime, Drama            ","Dhoom reinvents the classic cops and robbers tale for the 21st century. Fast bikes, big action, and non-stop fun make for a thrilling story.",Sanjay Gadhvi,"     Abhishek Bachchan, John Abraham, Uday Chopra, Esha Deol"
tt0090583,About Last Night...,U,"Comedy, Drama, Romance            ","A man and woman meet and try to have a romantic affair, despite their personal problems and the interference of their disapproving friends.",Edward Zwick,"     Rob Lowe, Demi Moore, Jim Belushi, Elizabeth Perkins"
tt1142433,Post Grad,PG-13,"Comedy, Romance            ","Ryden Malby graduates from college and is forced to move back into her childhood home with her eccentric family, while she attempts to find a job, the right guy, and just a hint of where her life is headed.",Vicky Jenson,"     Alexis Bledel, Michael Keaton, Carol Burnett, Zach Gilford"
tt0339840,Undead,R,"Action, Comedy, Fantasy            ","A quaint Australian fishing village is overcome by meteorites that turn its residents into the ravenous undead, leaving a small group of those unharmed to find a way out.","Michael Spierig, Peter Spierig","     Felicity Mason, Mungo McKay, Rob Jenkins, Lisa Cunningham"
tt0103850,Bob Roberts,U,"Comedy, Drama            ","A conservative folk singer turns his hand to politics, running for the US Senate. He is not above dirty tricks and smear campaigns to gain an advantage over his opponent.",Tim Robbins,"     Tim Robbins, Giancarlo Esposito, Alan Rickman, Ray Wise"
tt3672840,Tian jiang xiong shi,R,"Action, Drama, Fantasy            ","When corrupt Roman leader Tiberius arrives with a giant army to claim the Silk Road, Huo An teams up his army with an elite Legion of defected Roman soldiers led by General Lucius to protect his country and his new friends.",Daniel Lee,"     Jackie Chan, John Cusack, Adrien Brody, Choi Siwon"
tt0111419,Thumbelina,U,"Animation, Adventure, Family            ","This retelling of the Hans Christian Andersen classic fairy tale has the digit-sized heroine evading the clutches of various toads, moles, and beetles before she can proceed with her courtship with her dream lover, Prince Cornelius.","Don Bluth, Gary Goldman","     Jodi Benson, Gary Imhoff, Gino Conforti, Barbara Cook"
tt0053172,Pillow Talk,A,"Comedy, Romance            ",An interior decorator and a playboy songwriter share a telephone party line and size each other up.,Michael Gordon,"     Rock Hudson, Doris Day, Tony Randall, Thelma Ritter"
tt0145893,Simply Irresistible,PG-13,"Comedy, Drama, Fantasy            ","A magical crab works wonders for a terrible chef's culinary skills, leading her towards the man of her dreams.",Mark Tarlov,"     Sarah Michelle Gellar, Sean Patrick Flanery, Patricia Clarkson, Dylan Baker"
tt0117057,The Mirror Has Two Faces,UA,"Comedy, Drama, Romance            ","A shy, middle-aged professor enters into a romantic but non-physical relationship with an unlucky-in-love colleague.",Barbra Streisand,"     Barbra Streisand, Jeff Bridges, Lauren Bacall, George Segal"
tt0243862,Italiensk for begyndere,R,"Comedy, Drama, Romance            ",Several lonely hearts in a semi-provincial suburb of a town in Denmark use a beginner's course in Italian as the platform to meet the romance of their lives.,Lone Scherfig,"     Anders W. Berthelsen, Ann Eleonora Jørgensen, Anette Støvelbæk, Peter Gantzler"
tt0102316,Little Man Tate,U,Drama            ,"A single mother raises a child prodigy on her own, struggling to give him every opportunity he needs to express his gift.",Jodie Foster,"     Jodie Foster, Dianne Wiest, Adam Hann-Byrd, Alex Lee"
tt0289635,Young Adam,NC-17,"Crime, Drama            ",A young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits.,David Mackenzie,"     Ewan McGregor, Tilda Swinton, Peter Mullan, Emily Mortimer"
tt0346723,Chalte Chalte,U,"Drama, Romance            ",A man pursues a woman who is already engaged and eventually gets married to her. Differences between the two lead to a bitter separation that threatens to destroy their relationship forever.,Aziz Mirza,"     Shah Rukh Khan, Rani Mukerji, Jas Arora, Satish Shah"
tt0480239,Atlas Shrugged: Part I,PG-13,"Drama, Mystery, Sci-Fi            ",Railroad executive Dagny Taggart and steel mogul Henry Rearden form an alliance to fight the increasingly authoritarian government of the United States.,Paul Johansson,"     Taylor Schilling, Grant Bowler, Matthew Marsden, Edi Gathegi"
